Rok;Polska;miasto;wies;ma³¿enskie;pozama³¿enskie;wiek1;wiek2;wiek3;wiek4;wiek5;wiek6;wiek7;Dolnoœl¹skie;Kujawsko-pomorskie;Lubelskie;Lubuskie;£ódzkie;Ma³opolskie;Mazowieckie;Opolskie;Podkarpackie;Podlaskie;Pomorskie;Œl¹skie;Œwiêtokrzyskie;Wamiñsko-mazurskie;Wielkopolskie;Zachodniopomorskie;Niemcy;Czechy;S³owacja
1970;545973;;;;;;;;;;;;;;;;;;;;;;;;;;;;1047737;147865;80666
1971;562341;;;;;;;;;;;;;;;;;;;;;;;;;;;;1013396;154180;83062
1972;575725;;;;;;;;;;;;;;;;;;;;;;;;;;;;901657;163661;87794
1973;598559;;;;;;;;;;;;;;;;;;;;;;;;;;;;815969;181750;92953
1974;621080;;;;;;;;;;;;;;;;;;;;;;;;;;;;805500;194215;97585
1975;643772;;;;;;;;;;;;;;;;;;;;;;;;;;;;782310;191776;97649
1976;670140;;;;;;;;;;;;;;;;;;;;;;;;;;;;798334;187378;99814
1977;662582;;;;;;;;;;;;;;;;;;;;;;;;;;;;805496;181763;99533
1978;666336;;;;;;;;;;;;;;;;;;;;;;;;;;;;808619;178901;100193
1979;688293;;;;;;;;;;;;;;;;;;;;;;;;;;;;817217;172112;100240
1980;692798;;;;;;;;;;;;;;;;;;;;;;;;;;;;865789;153801;95100
1981;678696;;;;;;;;;;;;;;;;;;;;;;;;;;;;862100;144438;93290
1982;702351;;;;;;;;;;;;;;;;;;;;;;;;;;;;861275;141738;92618
1983;720756;;;;;;;;;;;;;;;;;;;;;;;;;;;;827933;137431;92053
1984;699041;;;;;;;;;;;;;;;;;;;;;;;;;;;;812292;136941;90843
1985;677576;;;;;;;;;;;;;;;;;;;;;;;;;;;;813803;135881;90155
1986;634748;;;;;;;;;;;;;;;;;;;;;;;;;;;;848231;133356;87138
1987;605492;;;;;;;;;;;;;;;;;;;;;;;;;;;;867969;130921;84006
1988;587741;;;;;;;;;;;;;;;;;;;;;;;;;;;;892993;132667;83242
1989;562530;;;;;;;;;;;;;;;;;;;;;;;;;;;;892993;128356;80116
1990;545817;;;;;;;;;;;;;;;;;;;;;;;;;;;;905675;130564;79989
1991;547719;;;;;;;;;;;;;;;;;;;;;;;;;;;;830019;129354;78569
1992;515214;;;;;;;;;;;;;;;;;;;;;;;;;;;;809114;121705;74640
1993;494310;;;;;;;;;;;;;;;;;;;;;;;;;;;;798447;121025;73256
1994;481285;;;;;;;;;;;;;;;;;;;;;;;;;;;;769603;106579;66370
1995;443109;;;;;;;;;;;;;;;;;;;;;;;;;;;;765221;96097;61427
1996;428203;;;;;;;;;;;;;;;;;;;;;;;;;;;;796013;90446;60123
1997;412635;;;;;;;;;;;;;;;;;;;;;;;;;;;;812173;90657;59310
1998;395619;;;;;;;;;;;;;;;;;;;;;;;;;;;;785034;90535;57582
1999;382002;;;;;;;;;;;;;;;;;;;;;;;;;;;;770744;89471;56223
2000;378348;;;;;;;;;;;;;;;;;;;;;;;;;;;;766999;90910;55151
2001;368205;;;;;;;;;;;;;;;;;;;;;;;;;;;;734475;90715;51136
2002;353765;197434;156331;302288;51477;24331;106462;127101;63009;25795;6743;324;24485;19922;20267;9285;22061;32988;47825;8337;20711;11172;22377;39525;11281;14537;33421;15571;719250;92786;50841
2003;351072;199583;151489;295063;56009;22514;101915;128978;66158;24782;6406;319;23895;19877;20520;9134;21648;32417;48520;8038;20133;10651;22454;39375;10860;14280;33684;15586;706721;93685;51713
2004;356131;204898;151233;294460;61671;20502;98392;133134;71678;25723;6338;364;24663;19769;19999;9650;22270;32581;50481;8092;20164;10582;22496;40251;10589;14607;34116;15821;705622;97664;53747
2005;364383;211200;153183;296385;67998;19295;95533;137307;79152;26654;6116;326;25389;20101;20600;9702;22363;32937;51877;8399;20282;10827;23162;41057;10810;14915;35945;16017;685795;102211;54430
2006;374244;218000;156244;302641;71603;19230;93569;139853;86825;28487;5975;305;26293;20844;20708;10153;23207;33191;54624;8406;20175;11013;23933;42592;10567;15259;36969;16310;672742;105831;53904
2007;387873;225638;162235;311731;76142;19866;92745;142112;95307;31290;6244;309;27330;21415;21012;10368;23513;34683;56945;8502;20628;11134;25166;44150;11265;15851;38745;17166;684862;114632;54424
2008;414499;241288;173211;331505;82994;21207;94099;151894;105477;35069;6438;315;29435;22834;22065;11219;25172;37426;60569;9190;21999;11988;26985;47404;11885;16525;41716;18087;684514;119570;57360
2009;417589;246429;171160;332998;84591;20514;87080;154089;110485;38386;6714;321;29519;22526;21774;11348;25641;37938;62001;9325;22007;12240;27032;48205;11927;16658;41744;17704;665126;118348;61217
2010;413300;241920;171380;328215;85085;18456;79834;152711;113369;41500;7136;294;29354;22173;21336;10777;25054;37672;63263;9259;21727;11906;26429;48251;11505;15862;41469;17263;677947;117153;60410
2011;388416;225701;162715;305982;82434;16142;70754;142865;109558;41587;7176;334;27536;20595;20080;10111;23446;36020;59710;8593;20927;11210;24682;45252;10741;14777;38639;16097;662685;108673;60813
2012;386257;223712;162545;299945;86312;15704;68102;140506;110379;43774;7487;305;27338;20427;19930;10106;23382;35823;59613;8870;20694;11160;24758;44808;10714;14235;38324;16075;673544;108576;55535
2013;369576;213749;155827;283130;86446;14492;62949;130958;109789;43343;7714;331;26030;19523;18326;9517;21810;35027;57876;8169;19902;10586;23719;43007;10071;13522;36916;15575;682069;106751;54823
2014;375160;217699;157461;284459;90701;13287;60053;129245;117017;46891;8321;346;27199;19776;18240;9576;22111;35265;60024;8585;19463;11006;24274;42818;9907;13849;37420;15647;714927;109860;55033
2015;369308;217391;151917;278571;90737;12030;57107;123994;119140;47972;8725;340;26424;19039;18170;9242;21773;35476;60110;8237;19206;10837;23796;41670;9809;13166;37131;15222;737575;110764;55602
2016;382257;226296;155961;286704;95553;11320;55770;126651;126194;52316;9658;348;27510;19967;18227;9370;22489;36957;61775;8549;20038;11481;25174;43028;9836;13469;38531;15856;792141;112663;57557
2017;401982;236143;165839;305115;96867;10076;55928;132464;134904;57563;10642;405;28331;21141;19402;9884;23443;38707;64161;9204;21664;12160;26749;45104;10231;14510;40773;16518;784901;114405;57969
2018;388178;228714;159464;285594;102584;9224;51745;127208;128762;59546;11210;483;27294;20138;18743;9168;22887;38325;62678;8645;21244;11918;25990;43123;9959;13581;38979;15506;787523;114036;57639
2019;374954;220300;154654;279080;123784;8277;47792;121881;123784;61004;11747;469;26422;19562;17952;8559;21578;37616;61225;8433;20610;11423;25630;40989;9490;13056;37749;14660;678896;112231;57054
